case_id,category,search_query,expected_title,expected_type,expected_parent_title,expected_platform,expected_region,expected_release_date,expected_date_precision,expected_status,expected_alternative_title,criticality,evidence
REC-01,recent_release,"Avatar Legends: The Fighting Game","Avatar Legends: The Fighting Game",main_game,,Xbox Series X|S,Worldwide,2026-07-23,day,released,,blocking,https://news.xbox.com/en-us/2026/07/17/next-week-on-xbox-new-games-for-july-20-to-24/
REC-02,recent_release,"Shift at Midnight","Shift at Midnight",main_game,,Xbox Series X|S,Worldwide,2026-07-22,day,released,,blocking,https://news.xbox.com/en-us/2026/07/21/xbox-game-pass-july-2026-wave-2/
REC-03,recent_release,"Hell is Us","Hell is Us",main_game,,Xbox Series X|S,Worldwide,2026-07-23,day,released,,blocking,https://news.xbox.com/en-us/2026/07/21/xbox-game-pass-july-2026-wave-2/
REC-04,recent_release,"The Planet Crafter","The Planet Crafter",main_game,,Xbox Series X|S,Worldwide,2026-07-21,day,released,,blocking,https://news.xbox.com/en-us/2026/07/07/xbox-game-pass-july-2026-wave-1/
REC-05,recent_release,FixForce,FixForce,main_game,,Xbox Series X|S,Worldwide,2026-07-17,day,released,,blocking,https://news.xbox.com/en-us/2026/07/07/xbox-game-pass-july-2026-wave-1/
REC-06,recent_release,Fogpiercer,Fogpiercer,main_game,,PC,Worldwide,2026-07-17,day,released,,blocking,https://news.xbox.com/en-us/2026/07/07/xbox-game-pass-july-2026-wave-1/
REC-07,recent_release,"Mavrix by Matt Jones","Mavrix by Matt Jones",main_game,,Xbox Series X|S,Worldwide,2026-07-16,day,released,,blocking,https://news.xbox.com/en-us/2026/07/07/xbox-game-pass-july-2026-wave-1/
REC-08,recent_release,"Quarantine Zone: The Last Check","Quarantine Zone: The Last Check",main_game,,PC,Worldwide,2026-07-15,day,released,,blocking,https://news.xbox.com/en-us/2026/07/07/xbox-game-pass-july-2026-wave-1/
REC-09,recent_release,"PBA Pro Bowling 2026","PBA Pro Bowling 2026",main_game,,Xbox Series X|S,Worldwide,2026-07-14,day,released,,blocking,https://news.xbox.com/en-us/2026/07/07/xbox-game-pass-july-2026-wave-1/
REC-10,recent_release,"Ascend to Zero","Ascend to Zero",main_game,,Xbox Series X|S,Worldwide,2026-07-13,day,released,,blocking,https://news.xbox.com/en-us/2026/07/07/xbox-game-pass-july-2026-wave-1/
UP-01,upcoming_release,"Halo: Campaign Evolved","Halo: Campaign Evolved",remake,,Xbox Series X|S,Worldwide,2026-07-28,day,announced,,blocking,https://news.xbox.com/en-us/2026/06/07/halo-campaign-evolved-launch-preorder-xbox-games-showcase-2026/
UP-02,upcoming_release,"Mistfall Hunter","Mistfall Hunter",main_game,,Xbox Series X|S,Worldwide,2026-07-30,day,announced,,blocking,https://news.xbox.com/en-us/2026/07/21/xbox-game-pass-july-2026-wave-2/
UP-03,upcoming_release,"Corsair Cove","Corsair Cove",main_game,,PC,Worldwide,2026-07-31,day,announced,,blocking,https://news.xbox.com/en-us/2026/07/21/xbox-game-pass-july-2026-wave-2/
UP-04,upcoming_release,"Beast of Reincarnation","Beast of Reincarnation",main_game,,Xbox Series X|S,Worldwide,2026-08-04,day,announced,,blocking,https://news.xbox.com/en-us/2026/07/21/xbox-game-pass-july-2026-wave-2/
UP-05,upcoming_release,"Lou's Lagoon","Lou's Lagoon",main_game,,PlayStation 5,Worldwide,2026-08-27,day,announced,,blocking,https://blog.playstation.com/2026/07/22/fresh-look-at-lous-lagoon-coming-to-ps5-on-august-27/
UP-06,upcoming_release,"Resonance: A Plague Tale Legacy","Resonance: A Plague Tale Legacy",main_game,,Xbox Series X|S,Worldwide,2026-08-27,day,announced,,blocking,https://news.xbox.com/en-us/2026/06/08/resonance-plague-tale-story-combat-details-xbox-games-showcase-2026/
UP-07,upcoming_release,"The Blood of Dawnwalker","The Blood of Dawnwalker",main_game,,PlayStation 5,Worldwide,2026-09-03,day,announced,,blocking,https://blog.playstation.com/2026/06/05/summer-game-fest-2026-highlights-16-games-coming-to-ps5/
UP-08,upcoming_release,"RuneScape: Dragonwilds","RuneScape: Dragonwilds",main_game,,PlayStation 5,Worldwide,2026-09-15,day,announced,,blocking,https://blog.playstation.com/2026/06/05/summer-game-fest-2026-highlights-16-games-coming-to-ps5/
UP-09,upcoming_release,"Control Resonant","Control Resonant",main_game,,PlayStation 5,Worldwide,2026-09-24,day,announced,,blocking,https://blog.playstation.com/2026/06/05/summer-game-fest-2026-highlights-16-games-coming-to-ps5/
UP-10,upcoming_release,"Gears of War: E-Day","Gears of War: E-Day",main_game,,Xbox Series X|S,Worldwide,2026-10-06,day,announced,,blocking,https://news.xbox.com/en-us/2026/06/07/xbox-games-showcase-2026-recap-everything-announced/
LOC-01,localized_title,"Paper Mario: La puerta milenaria","Paper Mario: The Thousand-Year Door",remake,,Nintendo Switch,Europe,2024-05-23,day,released,"Paper Mario: La puerta milenaria",non_blocking,https://www.nintendo.com/es-es/Juegos/Juegos-de-Nintendo-Switch/Paper-Mario-La-puerta-milenaria-2445545.html
LOC-02,localized_title,"Kirby y la tierra olvidada","Kirby and the Forgotten Land",main_game,,Nintendo Switch,Europe,2022-03-25,day,released,"Kirby y la tierra olvidada",non_blocking,https://www.nintendo.com/es-es/Juegos/Juegos-de-Nintendo-Switch/Kirby-y-la-tierra-olvidada-2045110.html
LOC-03,localized_title,"Mario & Luigi: Conexión fraternal","Mario & Luigi: Brothership",main_game,,Nintendo Switch,Europe,2024-11-07,day,released,"Mario & Luigi: Conexión fraternal",non_blocking,https://www.nintendo.com/es-es/Juegos/Juegos-de-Nintendo-Switch/Mario-Luigi-Conexion-fraternal-2590264.html
LOC-04,localized_title,"Detective Pikachu: El regreso","Detective Pikachu Returns",main_game,,Nintendo Switch,Europe,2023-10-06,day,released,"Detective Pikachu: El regreso",non_blocking,https://www.nintendo.com/es-es/Juegos/Juegos-de-Nintendo-Switch/Detective-Pikachu-El-regreso-2403487.html
LOC-05,localized_title,"El profesor Layton y el Nuevo Mundo a vapor","Professor Layton and the New World of Steam",main_game,,Nintendo Switch,Europe,,unknown,announced,"El profesor Layton y el Nuevo Mundo a vapor",non_blocking,https://www.nintendo.com/es-es/Juegos/Explorar-el-catalogo/Portal-de-personajes/Portal-para-la-serie-Layton/Portal-de-la-serie-Layton-627605.html
LOC-06,localized_title,"Estudio de videojuegos","Game Builder Garage",main_game,,Nintendo Switch,Europe,2021-06-11,day,released,"Estudio de videojuegos",non_blocking,https://www.nintendo.com/es-es/Juegos/Programas-descargables-Nintendo-Switch/Estudio-de-videojuegos-1964648.html
LOC-07,localized_title,"Pokémon Mundo misterioso: equipo de rescate DX","Pokémon Mystery Dungeon: Rescue Team DX",remake,,Nintendo Switch,Europe,2020-03-06,day,released,"Pokémon Mundo misterioso: equipo de rescate DX",non_blocking,https://www.nintendo.com/es-es/Juegos/Juegos-de-Nintendo-Switch/Pokemon-Mundo-misterioso-equipo-de-rescate-DX-1695693.html
LOC-08,localized_title,"EL MISTERIOSO VIAJE DE LAYTON: Katrielle y la conspiración de los millonarios - Edición Deluxe","Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy - Deluxe Edition",expanded_game,,Nintendo Switch,Europe,2019-11-08,day,released,"EL MISTERIOSO VIAJE DE LAYTON: Katrielle y la conspiración de los millonarios - Edición Deluxe",non_blocking,https://www.nintendo.com/es-es/Juegos/Juegos-de-Nintendo-Switch/EL-MISTERIOSO-VIAJE-DE-LAYTON-Katrielle-y-la-conspiracion-de-los-millonarios-Edicion-Deluxe-1589842.html
LOC-09,localized_title,"Brain Training del Dr. Kawashima para Nintendo Switch","Dr Kawashima's Brain Training for Nintendo Switch",main_game,,Nintendo Switch,Europe,2020-01-03,day,released,"Brain Training del Dr. Kawashima para Nintendo Switch",non_blocking,https://www.nintendo.com/es-es/Juegos/Juegos-de-Nintendo-Switch/Brain-Training-del-Dr-Kawashima-para-Nintendo-Switch-1656777.html
LOC-10,localized_title,"Snipperclips: ¡A recortar en compañía!","Snipperclips: Cut It Out, Together!",main_game,,Nintendo Switch,Europe,2017-03-03,day,released,"Snipperclips: ¡A recortar en compañía!",non_blocking,https://www.nintendo.com/es-es/Juegos/Programas-descargables-Nintendo-Switch/Snipperclips-A-recortar-en-companiia--1173331.html
IND-01,indie,"Hollow Knight","Hollow Knight",main_game,,PC,Worldwide,2017-02-24,day,released,,blocking,https://store.steampowered.com/search/?term=Hollow+Knight
IND-02,indie,Celeste,Celeste,main_game,,PC,Worldwide,2018-01-25,day,released,,blocking,https://store.steampowered.com/search/?term=Celeste
IND-03,indie,"Disco Elysium","Disco Elysium",main_game,,PC,Worldwide,2019-10-15,day,released,,blocking,https://store.steampowered.com/search/?term=Disco+Elysium
IND-04,indie,"Outer Wilds","Outer Wilds",main_game,,PC,Worldwide,2019-05-28,day,released,,blocking,https://store.steampowered.com/search/?term=Outer+Wilds
IND-05,indie,Tunic,Tunic,main_game,,PC,Worldwide,2022-03-16,day,released,,blocking,https://store.steampowered.com/search/?term=Tunic
